Caller,Callee
ares_parse_caa_reply,ares_expand_name
ares_parse_caa_reply,name_length
ares_parse_caa_reply,ares_free_data
ares_parse_caa_reply,ares_malloc_data
ares_parse_caa_reply,aresx_uztosl
ares_parse_soa_reply,ares_expand_name
ares_parse_soa_reply,name_length
ares_parse_soa_reply,ares__expand_name_for_response
ares_parse_soa_reply,ares_free_data
ares_parse_soa_reply,ares_malloc_data
ares_parse_soa_reply,aresx_uztosl
ares__sortaddrinfo,qsort
ares__sortaddrinfo,socket
ares__sortaddrinfo,__assert_fail
ares__sortaddrinfo,find_src_addr
ares__sortaddrinfo,__errno_location
ares__sortaddrinfo,getsockname
ares__sortaddrinfo,ares__open_socket
ares__sortaddrinfo,ares__close_socket
ares__sortaddrinfo,ares__connect_socket
ares__sortaddrinfo,connect
ares__sortaddrinfo,close
ares__append_addrinfo_cname,ares__malloc_addrinfo_cname
ares__append_addrinfo_node,ares__malloc_addrinfo_node
ares_getaddrinfo,ares__sortaddrinfo
ares_getaddrinfo,ares__append_addrinfo_cname
ares_getaddrinfo,ares__addrinfo_cat_cnames
ares_getaddrinfo,ares__malloc_addrinfo
ares_getaddrinfo,ares__malloc_addrinfo_node
ares_getaddrinfo,ares__append_addrinfo_node
ares_getaddrinfo,ares__addrinfo_cat_nodes
ares_getaddrinfo,strtoul
ares_getaddrinfo,fcntl
ares_getaddrinfo,setsockopt
ares_getaddrinfo,bind
ares_getaddrinfo,memcmp
ares_getaddrinfo,lookup_service.69
ares_getaddrinfo,fake_addrinfo
ares_getaddrinfo,next_lookup.70
ares_getaddrinfo,next_dns_lookup
ares_getaddrinfo,file_lookup.71
ares_getaddrinfo,end_hquery.72
ares_getaddrinfo,getenv
ares_getaddrinfo,as_is_first
ares_getaddrinfo,qsort
ares_getaddrinfo,setsocknonblock
ares_getaddrinfo,socket
ares_getaddrinfo,__assert_fail
ares_getaddrinfo,find_src_addr
ares_getaddrinfo,ares_free_string
ares_getaddrinfo,ares__malloc_addrinfo_cname
