Caller,Callee
ares_parse_a_reply,ares__parse_into_addrinfo2
ares_parse_a_reply,ares__freeaddrinfo_nodes
ares_parse_a_reply,ares__freeaddrinfo_cnames
ares_parse_a_reply,strdup
ares_parse_a_reply,ares_free_hostent
ares_search,ares__is_onion_domain
ares_search,ares__single_domain
ares_search,ares_query
ares_search,ares__cat_domain
ares_search,ares_strdup
init_id_key,randomize_key
ares__init_servers_state,ares__init_list_head
randomize_key,fopen
randomize_key,setvbuf
randomize_key,fread
randomize_key,aresx_uztosi
randomize_key,fclose
randomize_key,rand
try_config,__ctype_b_loc
try_config,strncmp
try_config,strlen
config_domain,__ctype_b_loc
config_domain,set_search
config_lookup,__ctype_b_loc
config_lookup,ares_strdup
has_opt_rr,ares_expand_name
has_opt_rr,ares_free_string
socket_recv,recv
set_search,ares_strsplit_free
set_search,ares_strsplit
config_nameserver,__ctype_b_loc
config_nameserver,ares_inet_pton
config_nameserver,ares_ipv6_server_blacklisted
config_sortlist,__ctype_b_loc
config_sortlist,ares_inet_net_pton
config_sortlist,sortlist_alloc
config_sortlist,natural_mask
config_sortlist,ip_addr
set_options,__ctype_b_loc
set_options,try_option
set_options,strtol
set_options,aresx_sltosi
try_option,strlen
try_option,strncmp
ip_addr,ares_inet_pton
natural_mask,ntohl
natural_mask,htonl
ares_ipv6_server_blacklisted,ares_ipv6_subnet_matches
ares__cat_domain,strlen
same_address,memcmp
process_answer,same_questions
process_answer,has_opt_rr
process_answer,ares__send_query
process_answer,end_query
process_answer,skip_server
process_answer,next_server
same_questions,ares_expand_name
same_questions,strcasecmp
socket_writev,writev
ares_process_fd,processfds
ares__single_domain,strlen
ares__single_domain,ares_strdup
ares__single_domain,strchr
ares__single_domain,getenv
ares__single_domain,fopen
ares__single_domain,ares__read_line
ares__single_domain,strncasecmp
ares__single_domain,__ctype_b_loc
ares__single_domain,__errno_location
ares__single_domain,fclose
search_callback,end_squery
search_callback,ares__cat_domain
search_callback,ares_query
ares_cancel,ares__is_list_empty
ares_cancel,ares__free_query
ares_cancel,ares__close_sockets
ares_init,ares_init_options
ares_init_options,ares_library_initialized
ares_init_options,ares__tvnow
ares_init_options,ares__init_list_head
ares_init_options,ares__init_servers_state
ares_init_options,ares_strsplit_free
ares_init_options,init_by_options
ares_init_options,init_by_environment
ares_init_options,init_by_resolv_conf
ares_init_options,init_by_defaults
ares_init_options,init_id_key
ares_init_options,ares__generate_new_id
init_by_options,htons
init_by_options,ares_strdup
init_by_environment,getenv
init_by_environment,set_search
init_by_environment,set_options
init_by_resolv_conf,fopen
init_by_resolv_conf,ares__read_line
init_by_resolv_conf,try_config
init_by_resolv_conf,config_domain
init_by_resolv_conf,config_lookup
init_by_resolv_conf,__errno_location
init_by_resolv_conf,set_search
init_by_resolv_conf,fclose
init_by_resolv_conf,config_nameserver
init_by_resolv_conf,set_options
init_by_resolv_conf,config_sortlist
init_by_defaults,htons
init_by_defaults,ares_strdup
init_by_defaults,htonl
init_by_defaults,strchr
init_by_defaults,gethostname
init_by_defaults,__errno_location
ares_timeout,ares__is_list_empty
ares_timeout,ares__tvnow
ares_timeout,timeoffset
ares_timeout,ares__timedout
ares__get_hostent,ares__read_line
ares__get_hostent,__ctype_b_loc
ares__get_hostent,aresx_uztoss
ares__get_hostent,aresx_sitoss
ares__get_hostent,ares_strdup
ares__get_hostent,ares_inet_pton
set_servers_csv,ares_library_initialized
set_servers_csv,strlen
set_servers_csv,strcpy
set_servers_csv,__ctype_b_loc
set_servers_csv,strtol
set_servers_csv,ares_inet_pton
set_servers_csv,ares_set_servers_ports
ares_freeaddrinfo,ares__freeaddrinfo_cnames
ares_freeaddrinfo,ares__freeaddrinfo_nodes
ares_get_servers,ares_malloc_data
ares_get_servers,ares_free_data
ares_get_servers_ports,ares_malloc_data
ares_get_servers_ports,ntohs
ares_get_servers_ports,ares_free_data
ares_set_servers,ares_library_initialized
ares_set_servers,ares__is_list_empty
ares_set_servers,ares__destroy_servers_state
ares_set_servers,ares__init_servers_state
ares_set_servers_ports,ares_library_initialized
ares_set_servers_ports,ares__is_list_empty
ares_set_servers_ports,ares__destroy_servers_state
