Caller,Callee
LLVMFuzzerTestOneInput,tjInitDecompress
LLVMFuzzerTestOneInput,tjDecompressHeader3
LLVMFuzzerTestOneInput,tjDestroy
LLVMFuzzerTestOneInput,_Znam
LLVMFuzzerTestOneInput,tjDecompress2
LLVMFuzzerTestOneInput,_ZdaPv
tjEncodeYUVPlanes,snprintf
tjEncodeYUVPlanes,free
tjEncodeYUVPlanes,jpeg_abort_compress
tjEncodeYUVPlanes,jcopy_sample_rows
tjEncodeYUVPlanes,_setjmp
tjEncodeYUVPlanes,malloc
tjEncodeYUVPlanes,setCompDefaults
tjEncodeYUVPlanes,putenv
tjEncodeYUV,getPixelFormat
tjEncodeYUV,tjEncodeYUV2
tjCompressFromYUVPlanes,snprintf
tjCompressFromYUVPlanes,free
tjCompressFromYUVPlanes,jpeg_abort_compress
tjCompressFromYUVPlanes,jpeg_finish_compress
tjCompressFromYUVPlanes,_setjmp
tjCompressFromYUVPlanes,malloc
tjCompressFromYUVPlanes,setCompDefaults
tjCompressFromYUVPlanes,putenv
tjCompressFromYUVPlanes,jpeg_mem_dest_tj
tjCompressFromYUVPlanes,tjBufSize
tjCompressFromYUV,snprintf
tjCompressFromYUV,tjCompressFromYUVPlanes
tjCompressFromYUV,tjPlaneHeight
tjCompressFromYUV,tjPlaneWidth
tjInitDecompress,malloc
tjInitDecompress,snprintf
tjInitDecompress,_tjInitDecompress
_tjInitDecompress,jpeg_std_error
_tjInitDecompress,_setjmp
_tjInitDecompress,free
_tjInitDecompress,jpeg_CreateDecompress
_tjInitDecompress,jpeg_mem_src_tj
tjDecompressHeader3,snprintf
tjDecompressHeader3,jpeg_abort_decompress
tjDecompressHeader3,getSubsamp
tjDecompressHeader3,jpeg_read_header
tjDecompressHeader3,jpeg_mem_src_tj
tjDecompressHeader3,_setjmp
tjDecompressHeader2,tjDecompressHeader3
tjDecompressHeader,tjDecompressHeader2
tjGetScalingFactors,snprintf
tjDecompress2,snprintf
tjDecompress2,free
tjDecompress2,jpeg_abort_decompress
tjDecompress2,jpeg_finish_decompress
tjDecompress2,putenv
tjDecompress2,_setjmp
tjDecompress2,malloc
tjDecompress2,jpeg_read_header
tjDecompress2,jpeg_mem_src_tj
my_progress_monitor,snprintf
my_progress_monitor,longjmp
tjDecompress,tjDecompressToYUV
tjDecompress,getPixelFormat
tjDecompress,tjDecompress2
tjDecompressToYUV,tjDecompressToYUV2
tjDecompressToYUV2,snprintf
tjDecompressToYUV2,tjDecompressToYUVPlanes
tjDecompressToYUV2,tjPlaneHeight
tjDecompressToYUV2,_setjmp
tjDecompressToYUV2,jpeg_mem_src_tj
tjDecompressToYUV2,jpeg_read_header
tjDecompressToYUV2,getSubsamp
tjDecompressToYUV2,tjPlaneWidth
tjDecompressToYUVPlanes,snprintf
tjDecompressToYUVPlanes,free
tjDecompressToYUVPlanes,jpeg_abort_decompress
tjDecompressToYUVPlanes,jpeg_finish_decompress
tjDecompressToYUVPlanes,putenv
tjDecompressToYUVPlanes,_setjmp
tjDecompressToYUVPlanes,malloc
tjDecompressToYUVPlanes,tjPlaneHeight
tjDecompressToYUVPlanes,jpeg_mem_src_tj
tjDecompressToYUVPlanes,jpeg_read_header
tjDecompressToYUVPlanes,getSubsamp
tjDecompressToYUVPlanes,tjPlaneWidth
tjDecodeYUVPlanes,snprintf
tjDecodeYUVPlanes,free
tjDecodeYUVPlanes,jpeg_abort_decompress
tjDecodeYUVPlanes,jcopy_sample_rows
tjDecodeYUVPlanes,_setjmp
tjDecodeYUVPlanes,malloc
tjDecodeYUVPlanes,jpeg_read_header
tjDecodeYUVPlanes,setDecodeDefaults
tjDecodeYUVPlanes,putenv
tjDecodeYUV,snprintf
tjDecodeYUV,tjDecodeYUVPlanes
tjDecodeYUV,tjPlaneHeight
tjDecodeYUV,tjPlaneWidth
tjInitTransform,malloc
tjInitTransform,snprintf
tjInitTransform,_tjInitDecompress
tjInitTransform,_tjInitCompress
tjTransform,snprintf
tjTransform,free
tjTransform,jpeg_abort_decompress
tjTransform,jpeg_abort_compress
tjTransform,putenv
tjTransform,jpeg_finish_decompress
tjTransform,jpeg_finish_compress
tjTransform,malloc
tjTransform,jtransform_execute_transform
tjTransform,jcopy_markers_execute
tjTransform,_setjmp
tjTransform,jpeg_mem_src_tj
tjTransform,jcopy_markers_setup
tjTransform,jpeg_read_header
tjTransform,getSubsamp
tjTransform,jpeg_write_coefficients
tjTransform,jpeg_simple_progression
tjTransform,jtransform_request_workspace
tjTransform,jtransform_adjust_parameters
tjTransform,jpeg_copy_critical_parameters
tjTransform,jpeg_mem_dest_tj
tjTransform,jpeg_read_coefficients
tjTransform,tjBufSize
tjLoadImage,snprintf
tjLoadImage,free
tjLoadImage,tjInitCompress
tjLoadImage,fopen
tjLoadImage,__errno_location
tjLoadImage,strerror
tjLoadImage,fclose
tjLoadImage,getc
tjLoadImage,ungetc
tjLoadImage,tjDestroy
tjLoadImage,_setjmp
tjLoadImage,malloc
tjLoadImage,jinit_read_ppm
tjLoadImage,jinit_read_bmp
write_scan_header,emit_dac
write_scan_header,emit_dht
write_scan_header,emit_sos
write_scan_header,emit_dri
write_file_trailer,emit_marker
write_tables_only,emit_marker
write_tables_only,emit_dqt
write_tables_only,emit_dht
write_marker_header,emit_marker
write_marker_header,emit_2bytes
write_marker_byte,emit_byte
emit_marker,emit_byte
emit_2bytes,emit_byte
emit_dqt,emit_marker
emit_dqt,emit_2bytes
emit_dqt,emit_byte
emit_dht,emit_marker
emit_dht,emit_2bytes
emit_dht,emit_byte
emit_dac,emit_marker
emit_dac,emit_2bytes
emit_dac,emit_byte
emit_dri,emit_marker
emit_dri,emit_2bytes
emit_sos,emit_marker
emit_sos,emit_2bytes
emit_sos,emit_byte
emit_sof,emit_marker
emit_sof,emit_2bytes
emit_sof,emit_byte
emit_jfif_app0,emit_marker
emit_jfif_app0,emit_2bytes
emit_jfif_app0,emit_byte
emit_adobe_app14,emit_marker
emit_adobe_app14,emit_2bytes
emit_adobe_app14,emit_byte
jinit_c_master_control,initial_setup
jinit_c_master_control,validate_script
jtransform_adjust_parameters,jpeg_set_colorspace
jtransform_adjust_parameters,transpose_critical_parameters
jtransform_adjust_parameters,adjust_quant
jtransform_adjust_parameters,adjust_exif_parameters
adjust_quant,requant_comp
adjust_quant,largest_common_denominator
adjust_quant,dequant_comp
tjCompress,tjBufSizeYUV
tjCompress,getPixelFormat
tjCompress,tjEncodeYUV2
tjCompress,tjCompress2
tjEncodeYUV2,tjEncodeYUV3
tjEncodeYUV3,snprintf
tjEncodeYUV3,tjEncodeYUVPlanes
tjEncodeYUV3,tjPlaneHeight
tjEncodeYUV3,tjPlaneWidth
put_cmyk,fwrite
copy_pixel_rows,fwrite
put_demapped_gray,fwrite
put_demapped_rgb,fwrite
put_pixel_rows.46,fwrite
main,fwrite
main,exit
main,fopen
main,perror
main,LLVMFuzzerTestOneInput
main,fseek
main,ftell
main,fileno
main,mmap
tjDestroy,snprintf
tjDestroy,_setjmp
tjDestroy,jpeg_destroy_compress
tjDestroy,jpeg_destroy_decompress
tjDestroy,free
tjFree,free
tjAlloc,malloc
tjInitCompress,malloc
tjInitCompress,snprintf
tjInitCompress,_tjInitCompress
tjPlaneHeight,snprintf
_tjInitCompress,jpeg_std_error
_tjInitCompress,_setjmp
_tjInitCompress,free
_tjInitCompress,jpeg_CreateCompress
_tjInitCompress,jpeg_mem_dest_tj
my_error_exit,longjmp
my_emit_message,longjmp
tjBufSize,snprintf
TJBUFSIZE,snprintf
tjBufSizeYUV2,snprintf
tjBufSizeYUV2,tjPlaneWidth
tjBufSizeYUV2,tjPlaneHeight
tjPlaneWidth,snprintf
tjBufSizeYUV,tjBufSizeYUV2
TJBUFSIZEYUV,tjBufSizeYUV
tjPlaneSizeYUV,snprintf
tjPlaneSizeYUV,tjPlaneWidth
tjPlaneSizeYUV,tjPlaneHeight
tjPlaneSizeYUV,abs
tjCompress2,snprintf
tjCompress2,free
tjCompress2,jpeg_abort_compress
tjCompress2,jpeg_finish_compress
tjCompress2,malloc
tjCompress2,setCompDefaults
tjCompress2,jpeg_mem_dest_tj
tjCompress2,_setjmp
tjCompress2,putenv
tjCompress2,tjBufSize
setCompDefaults,jpeg_set_defaults
setCompDefaults,getenv
setCompDefaults,strlen
setCompDefaults,strcmp
setCompDefaults,jpeg_simple_progression
setCompDefaults,jpeg_set_colorspace
setCompDefaults,jpeg_set_quality
setCompDefaults,toupper
setCompDefaults,__isoc99_sscanf
encode_mcu_DC_first.379,emit_restart.383
encode_mcu_DC_first.379,arith_encode
encode_mcu_AC_first.380,emit_restart.383
encode_mcu_AC_first.380,arith_encode
encode_mcu_DC_refine.381,emit_restart.383
encode_mcu_DC_refine.381,arith_encode
encode_mcu_AC_refine.382,emit_restart.383
encode_mcu_AC_refine.382,arith_encode
encode_mcu,emit_restart.383
encode_mcu,arith_encode
emit_restart.383,finish_pass
emit_restart.383,emit_byte.378
arith_encode,emit_byte.378
decode_mcu_DC_first.387,process_restart.391
decode_mcu_DC_first.387,arith_decode
decode_mcu_AC_first.388,process_restart.391
decode_mcu_AC_first.388,arith_decode
decode_mcu_DC_refine.389,process_restart.391
decode_mcu_DC_refine.389,arith_decode
decode_mcu_AC_refine.390,process_restart.391
decode_mcu_AC_refine.390,arith_decode
decode_mcu,process_restart.391
decode_mcu,arith_decode
arith_decode,get_byte
read_colormap,read_byte
read_byte,getc
preload_image,feof
preload_image,fread
get_8bit_row,fread
get_24bit_row,fread
get_32bit_row,fread
tjSaveImage,snprintf
tjSaveImage,tjInitDecompress
tjSaveImage,fopen
tjSaveImage,__errno_location
tjSaveImage,strerror
tjSaveImage,fclose
tjSaveImage,_setjmp
tjSaveImage,strrchr
tjSaveImage,strcasecmp
tjSaveImage,jinit_write_bmp
tjSaveImage,tjDestroy
tjSaveImage,jinit_write_ppm
jtransform_parse_crop_spec,__ctype_b_loc
jtransform_parse_crop_spec,jt_read_integer
jt_read_integer,__ctype_b_loc
jtransform_request_workspace,jtransform_perfect_transform
jtransform_request_workspace,jdiv_round_up
jtransform_request_workspace,trim_bottom_edge
jtransform_request_workspace,trim_right_edge
jinit_color_converter,jsimd_can_rgb_ycc
jinit_color_converter,jsimd_can_rgb_gray
jinit_compress_master,jinit_color_converter
jinit_compress_master,jinit_phuff_encoder
jinit_compress_master,jinit_arith_encoder
jinit_compress_master,jinit_forward_dct
write_file_header,emit_marker
write_file_header,emit_jfif_app0
write_file_header,emit_adobe_app14
write_frame_header,emit_dqt
write_frame_header,emit_sof
jtransform_execute_transform,do_crop_ext_reflect
jtransform_execute_transform,do_crop_ext_flat
jtransform_execute_transform,do_crop_ext_zero
jtransform_execute_transform,do_crop
jtransform_execute_transform,do_flip_h
jtransform_execute_transform,do_flip_h_no_crop
jtransform_execute_transform,do_flip_v
jtransform_execute_transform,do_transpose
jtransform_execute_transform,do_transverse
jtransform_execute_transform,do_rot_90
jtransform_execute_transform,do_rot_180
jtransform_execute_transform,do_rot_270
jtransform_execute_transform,jdiv_round_up
