Caller,Callee
LLVMFuzzerTestOneInput,ov_open_callbacks
LLVMFuzzerTestOneInput,ov_read
LLVMFuzzerTestOneInput,ov_clear
main,fprintf
main,exit
main,fopen
main,perror
main,LLVMFuzzerTestOneInput
main,fseek
main,ftell
main,fileno
main,mmap
ov_pcm_total,ov_pcm_total
_fetch_headers,_get_next_page
_fetch_headers,vorbis_info_init
_fetch_headers,vorbis_comment_init
_fetch_headers,ogg_page_bos
_fetch_headers,ogg_page_serialno
_fetch_headers,ogg_stream_reset_serialno
_fetch_headers,ogg_stream_pagein
_fetch_headers,ogg_stream_packetout
_fetch_headers,vorbis_synthesis_idheader
_fetch_headers,vorbis_synthesis_headerin
_fetch_headers,vorbis_comment_clear
_fetch_headers,vorbis_info_clear
_fetch_headers,malloc
_fetch_headers,realloc
_fetch_headers,free
ov_open,_ov_open1
ov_open,_ov_open2
ov_read_float,vorbis_synthesis_pcmout
ov_read_float,vorbis_synthesis_halfrate_p
ov_read_float,vorbis_synthesis_read
ov_read_float,_fetch_and_process_packet
ov_crosslap,_fetch_and_process_packet
ov_crosslap,vorbis_synthesis_pcmout
ov_crosslap,vorbis_synthesis_lapout
ov_crosslap,vorbis_synthesis_halfrate_p
ov_crosslap,_ov_getlap
ov_crosslap,vorbis_info_blocksize
ov_crosslap,vorbis_window
_ov_getlap,vorbis_synthesis_pcmout
_ov_getlap,vorbis_synthesis_read
_ov_getlap,_fetch_and_process_packet
_ov_getlap,vorbis_synthesis_lapout
ov_raw_seek_lap,_ov_64_seek_lap
_ov_64_seek_lap,_fetch_and_process_packet
_ov_64_seek_lap,vorbis_synthesis_halfrate_p
_ov_64_seek_lap,vorbis_info_blocksize
_ov_64_seek_lap,vorbis_window
_ov_64_seek_lap,_ov_getlap
_ov_64_seek_lap,vorbis_synthesis_pcmout
_ov_64_seek_lap,vorbis_synthesis_lapout
ov_pcm_seek_lap,_ov_64_seek_lap
ov_pcm_seek_page_lap,_ov_64_seek_lap
_vp_couple_quantize_normalize,noise_normalize
noise_normalize,qsort
ov_time_tell,ov_pcm_total
ov_time_tell,ov_time_total
ov_read_filter,vorbis_synthesis_pcmout
ov_read_filter,_fetch_and_process_packet
ov_read_filter,vorbis_synthesis_read
ov_read_filter,vorbis_synthesis_halfrate_p
ov_read,ov_read_filter
ov_clear,vorbis_block_clear
ov_clear,vorbis_dsp_clear
ov_clear,ogg_stream_clear
ov_clear,vorbis_info_clear
ov_clear,vorbis_comment_clear
ov_clear,free
ov_clear,ogg_sync_clear
ov_open_callbacks,_ov_open1
ov_open_callbacks,_ov_open2
