mutation_id,funname
302,default_malloc
303,default_malloc
1086,ares_create_query
1087,ares_create_query
1088,ares_create_query
1089,ares_create_query
1090,ares_create_query
1091,ares_create_query
1092,ares_create_query
1093,ares_create_query
1094,ares_create_query
1095,ares_create_query
1096,ares_create_query
1097,ares_create_query
1098,ares_create_query
1099,ares_create_query
1179,default_malloc
1180,default_malloc
1181,default_malloc
1927,ares_create_query
1928,ares_create_query
1929,ares_create_query
1930,ares_create_query
1931,ares_create_query
1932,ares_create_query
1933,ares_create_query
1934,ares_create_query
1935,ares_create_query
1936,ares_create_query
1937,ares_create_query
1938,ares_create_query
1939,ares_create_query
1940,ares_create_query
1941,ares_create_query
1942,ares_create_query
2962,ares_striendstr
2963,ares_striendstr
2964,ares_striendstr
2965,ares_striendstr
2966,ares_striendstr
2967,ares_striendstr
2968,ares_striendstr
2969,ares_striendstr
2970,ares_striendstr
2971,ares_striendstr
2972,ares_striendstr
2973,ares_striendstr
2974,ares_striendstr
2975,ares_striendstr
2976,ares_striendstr
2977,ares_striendstr
2978,ares_striendstr
2979,ares_striendstr
2980,ares_striendstr
2981,ares_striendstr
2982,ares_striendstr
2983,ares_striendstr
2984,ares_striendstr
2985,ares_striendstr
2986,ares_striendstr
3023,ares__is_onion_domain
3024,ares__is_onion_domain
3025,ares__is_onion_domain
3026,ares__is_onion_domain
3027,ares__is_onion_domain
3028,ares__is_onion_domain
3663,ares_create_query
3664,ares_create_query
3665,ares_create_query
3666,ares_create_query
3667,ares_create_query
3668,ares_create_query
3669,ares_create_query
3670,ares_create_query
3671,ares_create_query
3672,ares_create_query
3673,ares_create_query
3674,ares_create_query
3675,ares_create_query
3676,ares_create_query
3677,ares_create_query
3678,ares_create_query
3679,ares_create_query
3680,ares_create_query
3681,ares_create_query
3682,ares_create_query
3683,ares_create_query
3684,ares_create_query
3685,ares_create_query
3686,ares_create_query
3687,ares_create_query
3688,ares_create_query
3689,ares_create_query
3690,ares_create_query
